pii(1): 0.9972602739726028
142-th run, acc:1.0, len(nr):143, new_val:35257.14538303416
143-th run, acc:0.9999999999999998, len(nr):144, new_val:35406.42843945051
144-th run, acc:1.0, len(nr):145, new_val:35554.62886290331
145-th run, acc:0.9999999999999999, len(nr):146, new_val:35701.75146509461
146-th run, acc:0.9999999999999996, len(nr):147, new_val:35847.80103948739
147-th run, acc:0.9999999999999996, len(nr):148, new_val:35992.782361369194
148-th run, acc:0.9999999999999999, len(nr):149, new_val:36136.70018791597
149-th run, acc:0.9999999999999997, len(nr):150, new_val:36279.559258255256
150-th run, acc:0.9999999999999997, len(nr):151, new_val:36421.36429352952
151-th run, acc:0.9999999999999998, len(nr):152, new_val:36562.11999695911
152-th run, acc:0.9999999999999997, len(nr):153, new_val:36701.83105390497
153-th run, acc:0.9999999999999994, len(nr):154, new_val:36840.502131931156
154-th run, acc:1.0, len(nr):155, new_val:36978.1378808674
155-th run, acc:0.9999999999999998, len(nr):156, new_val:37114.742932870955
156-th run, acc:0.9999999999999999, len(nr):157, new_val:37250.321902488744
157-th run, acc:1.0, len(nr):158, new_val:37384.87938671902
158-th run, acc:0.9999999999999996, len(nr):159, new_val:37518.419965072804
159-th run, acc:1.0, len(nr):160, new_val:37650.948199635415
160-th run, acc:0.9999999999999996, len(nr):161, new_val:37782.46863512728
161-th run, acc:0.9999999999999998, len(nr):162, new_val:37912.98579896514
162-th run, acc:0.9999999999999998, len(nr):163, new_val:38042.50420132249
163-th run, acc:0.9999999999999998, len(nr):164, new_val:38171.02833519031
164-th run, acc:1.0, len(nr):165, new_val:38298.56267643721
165-th run, acc:1.0, len(nr):166, new_val:38425.11168386952
166-th run, acc:0.9999999999999996, len(nr):167, new_val:38550.67979929128
167-th run, acc:0.9999999999999994, len(nr):168, new_val:38675.27144756396
168-th run, acc:0.9999999999999998, len(nr):169, new_val:38798.891036665744
169-th run, acc:0.9999999999999998, len(nr):170, new_val:38921.5429577511
170-th run, acc:1.0, len(nr):171, new_val:39043.23158520969
171-th run, acc:0.9999999999999999, len(nr):172, new_val:39163.96127672526
172-th run, acc:0.9999999999999999, len(nr):173, new_val:39283.73637333455
173-th run, acc:0.9999999999999997, len(nr):174, new_val:39402.56119948559
174-th run, acc:0.9999999999999996, len(nr):175, new_val:39520.44006309609
175-th run, acc:0.9999999999999998, len(nr):176, new_val:39637.37725561151
176-th run, acc:0.9999999999999993, len(nr):177, new_val:39753.377052063195
177-th run, acc:0.9999999999999999, len(nr):178, new_val:39868.44371112575
178-th run, acc:0.9999999999999997, len(nr):179, new_val:39982.58147517485
179-th run, acc:0.9999999999999994, len(nr):180, new_val:40095.79457034446
180-th run, acc:0.9999999999999999, len(nr):181, new_val:40208.08720658408
181-th run, acc:0.9999999999999996, len(nr):182, new_val:40319.46357771562
182-th run, acc:0.9999999999999999, len(nr):183, new_val:40429.92786149019
183-th run, acc:0.9999999999999998, len(nr):184, new_val:40539.484219644684
184-th run, acc:0.9999999999999999, len(nr):185, new_val:40648.1367979582
185-th run, acc:1.0000000000000002, len(nr):186, new_val:40755.88972630821
186-th run, acc:1.0, len(nr):187, new_val:40862.747118726584
187-th run, acc:0.9999999999999996, len(nr):188, new_val:40968.7130734554
188-th run, acc:0.9999999999999997, len(nr):189, new_val:41073.79167300257
189-th run, acc:1.0000000000000002, len(nr):190, new_val:41177.986984197414
190-th run, acc:1.0, len(nr):191, new_val:41281.303058245714
191-th run, acc:1.0000000000000002, len(nr):192, new_val:41383.743930785
192-th run, acc:0.9999999999999998, len(nr):193, new_val:41485.31362193931
193-th run, acc:0.9999999999999998, len(nr):194, new_val:41586.01613637403
194-th run, acc:0.9999999999999997, len(nr):195, new_val:41685.85546335022
195-th run, acc:0.9999999999999997, len(nr):196, new_val:41784.83557677916
196-th run, acc:1.0, len(nr):197, new_val:41882.9604352765
197-th run, acc:0.9999999999999997, len(nr):198, new_val:41980.23398221607
198-th run, acc:0.9999999999999997, len(nr):199, new_val:42076.66014578392
199-th run, acc:0.9999999999999998, len(nr):200, new_val:42172.242839031744
200-th run, acc:1.0, len(nr):201, new_val:42266.98595993039
201-th run, acc:0.9999999999999996, len(nr):202, new_val:42360.89339142318
202-th run, acc:0.9999999999999996, len(nr):203, new_val:42453.969001478945
203-th run, acc:0.9999999999999997, len(nr):204, new_val:42546.21664314484
204-th run, acc:0.9999999999999998, len(nr):205, new_val:42637.64015459937
205-th run, acc:0.9999999999999997, len(nr):206, new_val:42728.24335920453
206-th run, acc:0.9999999999999994, len(nr):207, new_val:42818.030065558494
207-th run, acc:1.0, len(nr):208, new_val:42907.00406754767
208-th run, acc:0.9999999999999998, len(nr):209, new_val:42995.16914439881
209-th run, acc:0.9999999999999996, len(nr):210, new_val:43082.52906073074
210-th run, acc:0.9999999999999998, len(nr):211, new_val:43169.087566606184
211-th run, acc:0.9999999999999998, len(nr):212, new_val:43254.848397583126
212-th run, acc:0.9999999999999997, len(nr):213, new_val:43339.81527476631
213-th run, acc:0.9999999999999996, len(nr):214, new_val:43423.99190485815
214-th run, acc:0.9999999999999992, len(nr):215, new_val:43507.381980209946
215-th run, acc:0.9999999999999996, len(nr):216, new_val:43589.98917887259
216-th run, acc:0.9999999999999998, len(nr):217, new_val:43671.81716464722
217-th run, acc:0.9999999999999997, len(nr):218, new_val:43752.869587135756
218-th run, acc:0.9999999999999998, len(nr):219, new_val:43833.150081791035
219-th run, acc:0.9999999999999999, len(nr):220, new_val:43912.66226996718
220-th run, acc:0.9999999999999999, len(nr):221, new_val:43991.409758969356
221-th run, acc:0.9999999999999996, len(nr):222, new_val:44069.396142103746
222-th run, acc:0.9999999999999994, len(nr):223, new_val:44146.624998726926
223-th run, acc:1.0000000000000002, len(nr):224, new_val:44223.099894295716
224-th run, acc:1.0, len(nr):225, new_val:44298.82438041607
225-th run, acc:0.9999999999999998, len(nr):226, new_val:44373.80199489253
226-th run, acc:0.9999999999999998, len(nr):227, new_val:44448.03626177693
227-th run, acc:0.9999999999999999, len(nr):228, new_val:44521.530691417414
228-th run, acc:0.9999999999999997, len(nr):229, new_val:44594.288780507
229-th run, acc:0.9999999999999992, len(nr):230, new_val:44666.31401213189
230-th run, acc:0.9999999999999998, len(nr):231, new_val:44737.60985582013
231-th run, acc:0.9999999999999997, len(nr):232, new_val:44808.17976758934
232-th run, acc:0.9999999999999994, len(nr):233, new_val:44878.02718999511
233-th run, acc:0.9999999999999999, len(nr):234, new_val:44947.15555217858
234-th run, acc:0.9999999999999997, len(nr):235, new_val:45015.568269914
235-th run, acc:0.9999999999999996, len(nr):236, new_val:45083.268745656576
236-th run, acc:0.9999999999999997, len(nr):237, new_val:45150.260368589516
237-th run, acc:0.9999999999999997, len(nr):238, new_val:45216.546514671376
238-th run, acc:0.9999999999999992, len(nr):239, new_val:45282.13054668297
239-th run, acc:0.9999999999999993, len(nr):240, new_val:45347.01581427436
240-th run, acc:0.9999999999999998, len(nr):241, new_val:45411.20565401147
241-th run, acc:0.9999999999999999, len(nr):242, new_val:45474.703389422626
242-th run, acc:0.9999999999999997, len(nr):243, new_val:45537.51233104508
243-th run, acc:0.9999999999999996, len(nr):244, new_val:45599.63577647103
244-th run, acc:0.9999999999999999, len(nr):245, new_val:45661.077010394
245-th run, acc:0.9999999999999996, len(nr):246, new_val:45721.83930465439
246-th run, acc:0.9999999999999999, len(nr):247, new_val:45781.92591828564
247-th run, acc:0.9999999999999997, len(nr):248, new_val:45841.34009755954
248-th run, acc:0.9999999999999996, len(nr):249, new_val:45900.0850760319
249-th run, acc:0.9999999999999998, len(nr):250, new_val:45958.1640745877
250-th run, acc:0.9999999999999994, len(nr):251, new_val:46015.580301486334
251-th run, acc:0.9999999999999993, len(nr):252, new_val:46072.33695240667
252-th run, acc:0.9999999999999996, len(nr):253, new_val:46128.43721049183
253-th run, acc:0.9999999999999996, len(nr):254, new_val:46183.88424639375
254-th run, acc:0.9999999999999998, len(nr):255, new_val:46238.68121831809
255-th run, acc:0.9999999999999993, len(nr):256, new_val:46292.83127206824
256-th run, acc:0.9999999999999998, len(nr):257, new_val:46346.337541089895
257-th run, acc:0.9999999999999996, len(nr):258, new_val:46399.203146514956
258-th run, acc:0.9999999999999998, len(nr):259, new_val:46451.431197205486
259-th run, acc:0.9999999999999997, len(nr):260, new_val:46503.02478979776
260-th run, acc:0.9999999999999994, len(nr):261, new_val:46553.987008745455
261-th run, acc:0.9999999999999997, len(nr):262, new_val:46604.320926363675
262-th run, acc:0.9999999999999999, len(nr):263, new_val:46654.02960287199
263-th run, acc:0.9999999999999998, len(nr):264, new_val:46703.11608643771
264-th run, acc:0.9999999999999997, len(nr):265, new_val:46751.583413219
265-th run, acc:0.9999999999999997, len(nr):266, new_val:46799.43460740777
266-th run, acc:1.0, len(nr):267, new_val:46846.672681272474
267-th run, acc:0.9999999999999998, len(nr):268, new_val:46893.30063520078
268-th run, acc:0.9999999999999998, len(nr):269, new_val:46939.321457741986
269-th run, acc:1.0, len(nr):270, new_val:46984.73812564935
270-th run, acc:0.9999999999999997, len(nr):271, new_val:47029.553603922424
271-th run, acc:0.9999999999999998, len(nr):272, new_val:47073.770845848965
272-th run, acc:0.9999999999999998, len(nr):273, new_val:47117.392793046965
273-th run, acc:0.9999999999999996, len(nr):274, new_val:47160.42237550639
274-th run, acc:0.9999999999999993, len(nr):275, new_val:47202.86251163072
275-th run, acc:0.9999999999999998, len(nr):276, new_val:47244.71610827866
276-th run, acc:0.9999999999999997, len(nr):277, new_val:47285.98606080524
277-th run, acc:0.9999999999999997, len(nr):278, new_val:47326.67525310325
278-th run, acc:0.9999999999999991, len(nr):279, new_val:47366.786557644155
279-th run, acc:0.9999999999999997, len(nr):280, new_val:47406.32283551914
280-th run, acc:0.9999999999999994, len(nr):281, new_val:47445.286936479846
281-th run, acc:0.9999999999999999, len(nr):282, new_val:47483.68169897903
282-th run, acc:0.9999999999999994, len(nr):283, new_val:47521.50995021105
283-th run, acc:0.9999999999999997, len(nr):284, new_val:47558.77450615248
284-th run, acc:0.9999999999999998, len(nr):285, new_val:47595.478171601935
285-th run, acc:0.9999999999999999, len(nr):286, new_val:47631.623740220624
286-th run, acc:1.0, len(nr):287, new_val:47667.213994571954
287-th run, acc:0.9999999999999996, len(nr):288, new_val:47702.25170616169
288-th run, acc:0.9999999999999996, len(nr):289, new_val:47736.73963547739
289-th run, acc:0.9999999999999997, len(nr):290, new_val:47770.6805320282
290-th run, acc:1.0, len(nr):291, new_val:47804.07713438411
291-th run, acc:0.9999999999999999, len(nr):292, new_val:47836.932170215325
292-th run, acc:1.0, len(nr):293, new_val:47869.24835633141
293-th run, acc:0.9999999999999993, len(nr):294, new_val:47901.02839872048
294-th run, acc:1.0000000000000002, len(nr):295, new_val:47932.27499258788
295-th run, acc:0.9999999999999997, len(nr):296, new_val:47962.99082239508
296-th run, acc:0.9999999999999998, len(nr):297, new_val:47993.178561898225
297-th run, acc:0.9999999999999998, len(nr):298, new_val:48022.84087418684
298-th run, acc:0.9999999999999998, len(nr):299, new_val:48051.98041172196
299-th run, acc:0.9999999999999998, len(nr):300, new_val:48080.59981637459
300-th run, acc:1.0, len(nr):301, new_val:48108.7017194636
301-th run, acc:0.9999999999999999, len(nr):302, new_val:48136.28874179398
302-th run, acc:0.9999999999999993, len(nr):303, new_val:48163.36349369445
303-th run, acc:0.9999999999999996, len(nr):304, new_val:48189.92857505545
304-th run, acc:0.9999999999999998, len(nr):305, new_val:48215.9865753664
305-th run, acc:0.9999999999999998, len(nr):306, new_val:48241.54007375347
306-th run, acc:1.0, len(nr):307, new_val:48266.591639017024
307-th run, acc:0.9999999999999999, len(nr):308, new_val:48291.14382966823
308-th run, acc:0.9999999999999998, len(nr):309, new_val:48315.19919396693
309-th run, acc:0.9999999999999999, len(nr):310, new_val:48338.760269958126
310-th run, acc:1.0, len(nr):311, new_val:48361.82958550896
311-th run, acc:0.9999999999999998, len(nr):312, new_val:48384.40965834545
312-th run, acc:0.9999999999999998, len(nr):313, new_val:48406.50299608896
313-th run, acc:1.0000000000000002, len(nr):314, new_val:48428.11209629294
314-th run, acc:1.0000000000000002, len(nr):315, new_val:48449.23944647893
315-th run, acc:0.9999999999999998, len(nr):316, new_val:48469.887524173
316-th run, acc:0.9999999999999996, len(nr):317, new_val:48490.05879694188
317-th run, acc:0.9999999999999994, len(nr):318, new_val:48509.7557224287
318-th run, acc:0.9999999999999993, len(nr):319, new_val:48528.98074838919
319-th run, acc:0.9999999999999994, len(nr):320, new_val:48547.73631272701
320-th run, acc:0.9999999999999999, len(nr):321, new_val:48566.02484352977
321-th run, acc:1.0, len(nr):322, new_val:48583.84875910411
322-th run, acc:0.9999999999999997, len(nr):323, new_val:48601.21046801149
323-th run, acc:0.9999999999999994, len(nr):324, new_val:48618.11236910306
324-th run, acc:0.9999999999999991, len(nr):325, new_val:48634.55685155499
325-th run, acc:0.9999999999999997, len(nr):326, new_val:48650.546294903426
326-th run, acc:0.9999999999999993, len(nr):327, new_val:48666.083069079476
327-th run, acc:0.9999999999999999, len(nr):328, new_val:48681.16953444379
328-th run, acc:0.9999999999999996, len(nr):329, new_val:48695.808041821314
329-th run, acc:0.9999999999999999, len(nr):330, new_val:48710.00093253595
330-th run, acc:0.9999999999999998, len(nr):331, new_val:48723.75053844468
331-th run, acc:0.9999999999999994, len(nr):332, new_val:48737.05918197211
332-th run, acc:1.0, len(nr):333, new_val:48749.92917614461
333-th run, acc:0.9999999999999997, len(nr):334, new_val:48762.36282462427
334-th run, acc:0.9999999999999997, len(nr):335, new_val:48774.36242174294
335-th run, acc:0.9999999999999996, len(nr):336, new_val:48785.93025253608
336-th run, acc:0.9999999999999994, len(nr):337, new_val:48797.06859277639
337-th run, acc:1.0, len(nr):338, new_val:48807.779709007475
338-th run, acc:0.9999999999999998, len(nr):339, new_val:48818.06585857732
339-th run, acc:0.9999999999999997, len(nr):340, new_val:48827.929289671745
340-th run, acc:0.9999999999999998, len(nr):341, new_val:48837.372241347424
341-th run, acc:0.9999999999999998, len(nr):342, new_val:48846.39694356532
342-th run, acc:0.9999999999999998, len(nr):343, new_val:48855.005617223556
343-th run, acc:0.9999999999999994, len(nr):344, new_val:48863.20047419038
344-th run, acc:0.9999999999999993, len(nr):345, new_val:48870.98371733693
345-th run, acc:0.9999999999999998, len(nr):346, new_val:48878.35754057006
346-th run, acc:0.9999999999999998, len(nr):347, new_val:48885.32412886471
347-th run, acc:0.9999999999999996, len(nr):348, new_val:48891.885658296545
348-th run, acc:0.9999999999999998, len(nr):349, new_val:48898.04429607431
349-th run, acc:0.9999999999999994, len(nr):350, new_val:48903.80220057205
350-th run, acc:0.9999999999999999, len(nr):351, new_val:48909.16152136114
351-th run, acc:0.9999999999999998, len(nr):352, new_val:48914.12439924257
352-th run, acc:0.9999999999999994, len(nr):353, new_val:48918.69296627863
353-th run, acc:0.9999999999999999, len(nr):354, new_val:48922.86934582481
354-th run, acc:0.9999999999999994, len(nr):355, new_val:48926.65565256159
355-th run, acc:0.9999999999999996, len(nr):356, new_val:48930.05399252586
356-th run, acc:0.9999999999999998, len(nr):357, new_val:48933.06646314259
357-th run, acc:0.9999999999999996, len(nr):358, new_val:48935.69515325612
358-th run, acc:0.9999999999999994, len(nr):359, new_val:48937.94214316138
359-th run, acc:0.9999999999999994, len(nr):360, new_val:48939.809504635174
360-th run, acc:0.9999999999999991, len(nr):361, new_val:48941.29930096709
361-th run, acc:0.9999999999999994, len(nr):362, new_val:48942.413586990704
362-th run, acc:0.9999999999999996, len(nr):363, new_val:48943.15440911419
363-th run, acc:0.9999999999999996, len(nr):364, new_val:48943.523805351084
364-th run, acc:0.9999999999999996, len(nr):365, new_val:48943.5238053511
365-th run, acc:0.9999999999999999, len(nr):365, new_val:48943.15643043044
366-th run, acc:0.9999999999999997, len(nr):365, new_val:48942.423693602366
367-th run, acc:0.9999999999999997, len(nr):365, new_val:48941.327599607524
368-th run, acc:0.9999999999999997, len(nr):365, new_val:48939.87014494403
369-th run, acc:0.9999999999999997, len(nr):365, new_val:48938.05331789783
370-th run, acc:0.9999999999999994, len(nr):365, new_val:48935.8790985723
371-th run, acc:0.9999999999999996, len(nr):365, new_val:48933.34945891869
372-th run, acc:0.9999999999999997, len(nr):365, new_val:48930.466362765605
373-th run, acc:0.9999999999999996, len(nr):365, new_val:48927.231765848584
374-th run, acc:0.9999999999999999, len(nr):365, new_val:48923.6476158401
375-th run, acc:0.9999999999999997, len(nr):365, new_val:48919.71585237872
376-th run, acc:0.9999999999999992, len(nr):365, new_val:48915.43840709875
377-th run, acc:0.9999999999999996, len(nr):365, new_val:48910.81720365925
378-th run, acc:0.9999999999999993, len(nr):365, new_val:48905.85415777354
379-th run, acc:0.9999999999999998, len(nr):365, new_val:48900.55117723808
380-th run, acc:0.9999999999999997, len(nr):365, new_val:48894.91016196169
381-th run, acc:0.9999999999999994, len(nr):365, new_val:48888.9330039942
382-th run, acc:0.9999999999999996, len(nr):365, new_val:48882.62158755532
383-th run, acc:0.9999999999999998, len(nr):365, new_val:48875.97778906351
384-th run, acc:0.9999999999999994, len(nr):365, new_val:48869.00347716438
385-th run, acc:0.9999999999999998, len(nr):365, new_val:48861.700512759315
386-th run, acc:1.0000000000000002, len(nr):365, new_val:48854.07074903386
387-th run, acc:0.9999999999999996, len(nr):365, new_val:48846.116031485966
388-th run, acc:0.9999999999999993, len(nr):365, new_val:48837.8381979543
389-th run, acc:0.9999999999999993, len(nr):365, new_val:48829.239078646286
390-th run, acc:1.0, len(nr):365, new_val:48820.32049616616
391-th run, acc:0.9999999999999997, len(nr):365, new_val:48811.0842655429
392-th run, acc:0.9999999999999999, len(nr):365, new_val:48801.53219425804
393-th run, acc:0.9999999999999994, len(nr):365, new_val:48791.666082273434
394-th run, acc:0.9999999999999999, len(nr):365, new_val:48781.48772205881
